bundle_asset_id,bundle_id_section,bundle_image_url
B_dc4cb6c331e3,2,https://static.zara.net/assets/public/8c6d/cff5/1a24472ba23d/b52b31d58483/02878302711-p/02878302711-p.jpg?ts=1751358456461
B_0115d9356e71,1,https://static.zara.net/assets/public/10f9/28cc/f0e24f3ba693/2e04c868fb62/06236102804-p/06236102804-p.jpg?ts=1756123863060
B_356f9aad7c3e,1,https://static.zara.net/assets/public/748a/95a0/5b444916854c/e5294e13d7fc/08043746712-p/08043746712-p.jpg?ts=1751889435346
B_a5edb4861ebe,3,https://static.zara.net/assets/public/fc8b/ec36/4f41480988c0/e3c1cfce0534/T9243982705-p/T9243982705-p.jpg?ts=1758818050307
B_07bdfaabcc9f,2,https://static.zara.net/assets/public/7631/b58f/8da24a579492/b66a3c108cbd/T9806785096-p/T9806785096-p.jpg?ts=1754296231980
B_50f99d10283b,1,https://static.zara.net/assets/public/2c0f/35d4/87154a93a782/0c90a4b48a78/03777005064-p/03777005064-p.jpg?ts=1749551880218
B_3bd039b8dc49,1,https://static.zara.net/assets/public/48b8/ae9c/ba474876bc6e/0ae9f71c30a6/08200055707-p/08200055707-p.jpg?ts=1753809270573
B_e7164838242e,1,https://static.zara.net/assets/public/9eff/0577/8d57457c9838/26900252f81e/09516079500-p/09516079500-p.jpg?ts=1761857186140
B_539991bc9785,2,https://static.zara.net/assets/public/2e3a/f318/2a834a82b8c7/d18c7ad75588/M9666647758-p/M9666647758-p.jpg?ts=1760953902695
B_9fba18ce952f,2,https://static.zara.net/assets/public/b594/aa8b/7f6c464f81f8/7f293fd2e507/T9676504939-p/T9676504939-p.jpg?ts=1752131966719
B_7f4482be3197,1,https://static.zara.net/assets/public/05fe/688e/f3ab442c967b/11744621b95f/T9603421797-p/T9603421797-p.jpg?ts=1758209316780
B_6ec3a66fb02d,2,https://static.zara.net/assets/public/8c8e/c566/f1394a5a9013/1fd267415748/T9727978437-p/T9727978437-p.jpg?ts=1753781732263
B_3364bf0ebb58,1,https://static.zara.net/assets/public/f377/c0aa/49524f73bd46/da3411fe8c07/T004-p/T004-p.jpg?ts=1762775514257
B_1c47b9fa8cf4,2,https://static.zara.net/assets/public/e152/3fff/0d0747ee85af/877ae5655e97/T9507208257-p/T9507208257-p.jpg?ts=1764862786820
B_262a92173a0b,1,https://static.zara.net/assets/public/d3b1/5b3a/ed64485cb20a/9a4c57a7101d/05063823700-p/05063823700-p.jpg?ts=1755770656443
B_21267b5ed292,2,https://static.zara.net/assets/public/9b9b/7b87/fa9f49f69bf3/68736894336d/T9264183990-p/T9264183990-p.jpg?ts=1761650287740
B_e954fa2a1c26,2,https://static.zara.net/assets/public/14a2/4ae7/5999470d9056/e05a3f21ad5d/T9084752979-p/T9084752979-p.jpg?ts=1764579696920
B_31d73f83c831,2,https://static.zara.net/assets/public/e1a9/5f64/0fb946bf8e8b/50c68ca86935/T9703399706-p/T9703399706-p.jpg?ts=1763121456409
B_e8320f034310,2,https://static.zara.net/assets/public/5c48/9e69/8a4544318b25/05f137a122bb/09942310250-200-p/09942310250-200-p.jpg?ts=1751468226044
B_14ccd8ae7777,1,https://static.zara.net/assets/public/ab7d/031c/77e24a259ebb/525470daf26c/01223532250-p/01223532250-p.jpg?ts=1747907670924
B_83ae8933035a,2,https://static.zara.net/assets/public/68d1/6668/61b947a8a7fa/d1d83de39f5c/T9171043562-p/T9171043562-p.jpg?ts=1764673128282
B_a28e6099ff20,1,https://static.zara.net/assets/public/6c09/1681/330547bbb22a/1eca4d92972d/07563257716-p/07563257716-p.jpg?ts=1756734647080
B_9a0a1ac1bd34,1,https://static.zara.net/assets/public/415a/cbbc/fdaa410a96a9/94abec4c4003/04831244800-p/04831244800-p.jpg?ts=1764159506888
B_6012abdc106b,2,https://static.zara.net/assets/public/c1ad/e762/921445e7bf5c/cffdf44f6d32/T9258197166-p/T9258197166-p.jpg?ts=1758802910481
B_85f88b51de0e,1,https://static.zara.net/assets/public/7e04/13ed/e4dd4c87af07/7aee6d115fd3/03199630706-a1/03199630706-a1.jpg?ts=1756460573021
B_4754acb63b07,2,https://static.zara.net/assets/public/b391/0f2f/1daf4067b5c7/f27f9ea72f38/04028340251-p/04028340251-p.jpg?ts=1764320545172
B_e534fb796547,1,https://static.zara.net/assets/public/41b2/086b/6ca3479aa832/c9a6e3c7c468/04088246515-p/04088246515-p.jpg?ts=1762136274474
B_ce96ab8bdbd9,1,https://static.zara.net/assets/public/f971/29b0/0b2847ee8281/d28703fec91c/01255528753-p/01255528753-p.jpg?ts=1760629295787
B_749dabdffcc2,1,https://static.zara.net/assets/public/0370/ae11/b4334939bf56/0bd9d5ccca8c/08834170505-p/08834170505-p.jpg?ts=1757585038329
B_fdde3559e985,1,https://static.zara.net/assets/public/52cf/bbbe/55704344a8b0/fe66fdd0656c/T9440678245-p/T9440678245-p.jpg?ts=1758208116650
B_e7c2dfadcf4b,2,https://static.zara.net/assets/public/4f85/cbdd/0e5e44bab2f0/b93e506c0754/T9243915590-p/T9243915590-p.jpg?ts=1754377771454
B_6add50c93a36,2,https://static.zara.net/assets/public/8e61/7eaa/4fc942ca9f1f/13c4a5eaa313/T9225179190-p/T9225179190-p.jpg?ts=1762791942135
B_449ec8a165a0,1,https://static.zara.net/assets/public/21fd/3041/3769466684a3/f3c8fd7306b8/T9063319904-p/T9063319904-p.jpg?ts=1763025794162
B_60347ba7e94c,2,https://static.zara.net/assets/public/47b2/c7b1/b89d476c808f/761473cd6889/T9601483137-p/T9601483137-p.jpg?ts=1754492381847
B_5b7e44130a06,1,https://static.zara.net/assets/public/dd79/2629/64a043fda59d/ad5e5552d5af/T9351520382-p/T9351520382-p.jpg?ts=1760377379853
B_1be2169d1038,2,https://static.zara.net/assets/public/6472/9c3f/b9604bf9851f/d0efcb348303/06861500250-p/06861500250-p.jpg?ts=1754649446509
B_7ab5d7f0e523,1,https://static.zara.net/assets/public/88a2/78e7/49fc45e8b1de/7bf6ce647b30/T9037078569-p/T9037078569-p.jpg?ts=1762873242946
B_afdea5aeb3e4,2,https://static.zara.net/assets/public/9b62/d4b9/fae944f49142/e5d8d3ffdc32/T9510817830-p/T9510817830-p.jpg?ts=1754486299632
B_4f3ac8b128c7,2,https://static.zara.net/assets/public/9786/cdf0/108a4cf0a259/0e54b99906f2/T9558184942-p/T9558184942-p.jpg?ts=1762442293428
B_008135672935,2,https://static.zara.net/assets/public/3f23/b8fa/71c543fd936d/520f8ae3fb23/T9663617547-p/T9663617547-p.jpg?ts=1763050077290
B_d38e25645759,1,https://static.zara.net/assets/public/3de4/572b/136549c0bc78/041a99853d54/05063825800-p/05063825800-p.jpg?ts=1752663726109
B_4b1543663440,1,https://static.zara.net/assets/public/cae3/0076/81ad41ab972c/0296c2031742/03564128800-p/03564128800-p.jpg?ts=1751466625396
B_99f08d8aaaa2,2,https://static.zara.net/assets/public/f205/5dca/34f041e6a2f9/5c6df83bb170/M9305941081-p/M9305941081-p.jpg?ts=1760952153223
B_75bfaf24734e,3,https://static.zara.net/assets/public/8b25/a476/bddc486b8bca/6776a50686c7/01880661400-p/01880661400-p.jpg?ts=1767962203856
